id	formula_id	formula	n_NO3	n_NO3_mono	n_NO3_bi	n_MeOH	CN	charge	geometry	isomerid	msmiles
81	18	1Zn_4NO3_1MeOH	4	4	0	1	5	-2	5_square_pyramidal	3	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
82	18	1Zn_4NO3_1MeOH	4	4	0	1	5	-2	5_square_pyramidal	4	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
83	18	1Zn_4NO3_1MeOH	4	4	0	1	5	-2	5_trigonal_bipyramidal	5	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
84	18	1Zn_4NO3_1MeOH	4	4	0	1	5	-2	5_trigonal_bipyramidal	6	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
85	19	1Zn_4NO3_2MeOH	4	4	0	2	6	-2	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
86	19	1Zn_4NO3_2MeOH	4	4	0	2	6	-2	6_octahedral	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|C[OH:3]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
87	20	1Zn_5NO3_0MeOH	5	4	1	0	6	-3	6_octahedral	1	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-:6]|[O-:5][N+](=O)[O-]|6_octahedral
88	20	1Zn_5NO3_0MeOH	5	5	0	0	5	-3	5_square_pyramidal	2	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_square_pyramidal
89	20	1Zn_5NO3_0MeOH	5	5	0	0	5	-3	5_trigonal_bipyramidal	3	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
90	21	1Zn_5NO3_1MeOH	5	5	0	1	6	-3	6_octahedral	1	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
91	22	1Zn_6NO3_0MeOH	6	6	0	0	6	-4	6_octahedral	1	[Zn+2]|[O-:1][N+](=O)[O-]|[O-:2][N+](=O)[O-]|[O-:3][N+](=O)[O-]|[O-:4][N+](=O)[O-]|[O-:5][N+](=O)[O-]|[O-:6][N+](=O)[O-]|6_octahedral
