reaction_type,from_formula,to_formula,balanced_reaction,run0|BSSE=no,run8|BSSE=no,run41|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no
Add MImH,1Zn_0MIm_0MImH_4MeOH,1Zn_0MIm_1MImH_4MeOH,1Zn_0MIm_0MImH_4MeOH + MImH -> 1Zn_0MIm_1MImH_4MeOH,-49.3507,-61.87000000000262,-58.64580000002752,-56.03035176478443,-55.437167311873054,-59.07519999999931
Add MImH,1Zn_0MIm_0MImH_5MeOH,1Zn_0MIm_1MImH_5MeOH,1Zn_0MIm_0MImH_5MeOH + MImH -> 1Zn_0MIm_1MImH_5MeOH,-43.95360000000001,-52.34580000000278,-51.00230000002193,-49.528904662671266,-47.63234146832838,-48.28580000000147
Add MImH,1Zn_0MIm_1MImH_3MeOH,1Zn_0MIm_2MImH_3MeOH,1Zn_0MIm_1MImH_3MeOH + MImH -> 1Zn_0MIm_2MImH_3MeOH,-47.01259999999998,-54.13560000000143,-51.802799999917625,-49.14603733792319,-50.33166049022111,-50.92199999999866
Add MImH,1Zn_0MIm_1MImH_4MeOH,1Zn_0MIm_2MImH_4MeOH,1Zn_0MIm_1MImH_4MeOH + MImH -> 1Zn_0MIm_2MImH_4MeOH,-43.277399999999986,-42.56749999999738,-43.78750000006403,-40.96539114424377,-40.68984914754401,-38.09360000000015
Add MImH,1Zn_0MIm_2MImH_2MeOH,1Zn_0MIm_3MImH_2MeOH,1Zn_0MIm_2MImH_2MeOH + MImH -> 1Zn_0MIm_3MImH_2MeOH,-46.74629999999995,-46.43999999999869,-44.0225999999966,-40.613751594530186,-40.2595433210663,-42.77149999999892
Add MImH,1Zn_0MIm_2MImH_3MeOH,1Zn_0MIm_3MImH_3MeOH,1Zn_0MIm_2MImH_3MeOH + MImH -> 1Zn_0MIm_3MImH_3MeOH,-35.458400000000026,-32.09560000000056,-32.4855000001553,-29.17859475253499,-28.786749789811438,-28.565899999997782
Add MImH,1Zn_0MIm_3MImH_1MeOH,1Zn_0MIm_4MImH_1MeOH,1Zn_0MIm_3MImH_1MeOH + MImH -> 1Zn_0MIm_4MImH_1MeOH,-39.830799999999996,-29.877000000000407,-31.119699999893783,-25.979122773947893,-27.082380324805854,-30.251500000002125
Add MImH,1Zn_0MIm_3MImH_2MeOH,1Zn_0MIm_4MImH_2MeOH,1Zn_0MIm_3MImH_2MeOH + MImH -> 1Zn_0MIm_4MImH_2MeOH,-33.154700000000034,-26.460800000000745,-27.762700000050245,-22.926695508736884,-23.11308756688959,-23.593500000002678
Add MImH,1Zn_0MIm_4MImH_0MeOH,1Zn_0MIm_5MImH_0MeOH,1Zn_0MIm_4MImH_0MeOH + MImH -> 1Zn_0MIm_5MImH_0MeOH,-34.900399999999976,-26.88980000000447,-25.37710000012885,-21.679295227018883,-21.15180375459022,-24.19770000000426
Add MImH,1Zn_0MIm_4MImH_1MeOH,1Zn_0MIm_5MImH_1MeOH,1Zn_0MIm_4MImH_1MeOH + MImH -> 1Zn_0MIm_5MImH_1MeOH,-25.267600000000005,-28.550100000000384,-24.055399999924703,-21.49628586342442,-20.858314917160897,-19.960500000001048
Add MImH,1Zn_0MIm_5MImH_0MeOH,1Zn_0MIm_6MImH_0MeOH,1Zn_0MIm_5MImH_0MeOH + MImH -> 1Zn_0MIm_6MImH_0MeOH,-10.510900000000039,-17.3553000000029,-13.168099999864353,-9.643943163071526,-8.701404075574828,-8.747400000000198
Add MImH,1Zn_1MIm_0MImH_3MeOH,1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_0MImH_3MeOH + MImH -> 1Zn_1MIm_1MImH_3MeOH,-39.83800000000001,-42.982099999997445,-41.89740000010352,-39.512682552071055,-39.43562377113267,-39.41739999999845
Add MImH,1Zn_1MIm_0MImH_4MeOH,1Zn_1MIm_1MImH_4MeOH,1Zn_1MIm_0MImH_4MeOH + MImH -> 1Zn_1MIm_1MImH_4MeOH,-34.32030000000002,-31.838599999999133,-34.04319999992731,-30.632482467073714,-30.777475984737976,-31.49630000000252
Add MImH,1Zn_1MIm_1MImH_2MeOH,1Zn_1MIm_2MImH_2MeOH,1Zn_1MIm_1MImH_2MeOH + MImH -> 1Zn_1MIm_2MImH_2MeOH,-37.28629999999997,-39.729199999997945,-36.31369999979506,-33.27589078081655,-33.925862803676864,-36.98909999999887
Add MImH,1Zn_1MIm_1MImH_3MeOH,1Zn_1MIm_2MImH_3MeOH,1Zn_1MIm_1MImH_3MeOH + MImH -> 1Zn_1MIm_2MImH_3MeOH,-23.425400000000014,-23.042499999999563,-23.72530000002007,-19.71150771153043,-18.80749725512578,-19.834399999999732
