structure,n_imzw,variant,n_wat,monomer_index,monomer_species,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0,run8,run102,run110,run110.mmsolvent
IMZW9_1_WAT3,9,1,3,0,ImH,OH...pi(C3),OH...pi,H1...C3,2.8705989090386694,109.24628327196292,O-H1-C3,OH...pi(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,0.31999999999999984,-0.7705999999998312,0.3324522044858895,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT3,9,1,3,1,Wat,OH...pi(C3),OH...pi,H1...C3,2.8705989090386694,109.24628327196292,O-H1-C3,OH...pi(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-1.0072,0.3029999999998836,0.15735928512731334,0.43440000000009604,-1.0072
IMZW9_1_WAT4,9,1,4,0,ImH,NH...O,NH...O,H6...O,1.9383797394122753,155.4210585188156,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,0.31999999999999984,-0.7705999999998312,0.3324522075999994,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT4,9,1,4,1,Wat,NH...O,NH...O,H6...O,1.9383797394122753,155.4210585188156,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-0.7035,0.2939000000001215,0.11356249858363299,0.45839999999998327,-0.7035
IMZW9_1_WAT5,9,1,5,0,ImH,OH...N3,OH...N3,H1...N3,1.8030635404491435,160.18418617302032,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,0.31999999999999984,-0.7705999999998312,0.3324522063485347,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT5,9,1,5,1,Wat,OH...N3,OH...N3,H1...N3,1.8030635404491435,160.18418617302032,O-H1-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-3.4585,0.5513999999998305,0.434908864692261,0.643800000000283,-3.4585
IMZW9_1_WAT6,9,1,6,0,ImH,CH...O(C3),CH...O,H7...O,3.2843862377872064,109.23822588923379,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,0.31999999999999984,-0.7705999999998312,0.33245220509706996,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT6,9,1,6,1,Wat,CH...O(C3),CH...O,H7...O,3.2843862377872064,109.23822588923379,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(C3),ok,-3.468,0.41269999999985885,0.2616464751845342,0.5385000000001128,-3.468
IMZW9_1_WAT7,9,1,7,0,ImH,CH...O(C3),CH...O,H7...O,2.746250390465152,133.77637861551437,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.31999999999999984,-0.7705999999998312,0.33245220384560525,-0.31270000000040454,-0.31270000000040454
IMZW9_1_WAT7,9,1,7,1,Wat,CH...O(C3),CH...O,H7...O,2.746250390465152,133.77637861551437,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-0.33590000000000053,0.38610000000016953,0.18788098513323348,0.5880999999999403,-0.33590000000000053
IMZW9_1_WAT8,9,1,8,0,ImH,noHbond-close(HH-H7),noHbond-close,H1...H7,3.3430110710930947,,,noHbond-close(HH-H7),ok,0.31999999999999984,-0.7705999999998312,0.3324522057082504,-0.31270000000040454,-0.31270000000040454
