variant,structure,contact_class,ref,band_bind,energy_h0_bind,scc_bind,third_bind,monopole_dipole_bind,dipole_dipole_bind,monopole_quadrupole_bind,dipole_quadrupole_bind,quadrupole_quadrupole_bind,multipole_bind,electronic_total_bind,repulsive_bind,dispersion_bind,total_bind,diff_vs_ref
baseline,IMZW7_1_WAT6,OH...pi(C1),-3.3630167640803847,-135.9428924843052,10.471300417943485,0.05300603902884455,-0.19136610497259923,0.21860729525683686,0.19104507112566876,-0.1447225727541204,-0.23539411495223583,-0.330264699546994,-0.30072895811989503,10.03221126837722,-12.292559630847295,-1.1363754808613,-3.3967237178288165,-0.0337069537484318
baseline,IMZW7_1_WAT7,CH...O(C3),-1.5324665272783022,-14.828932154446424,11.112100919173209,0.18161021517933948,-0.013682404825314012,-0.13218411770002325,0.04028560622727154,-0.27282317255167754,-0.0136123747680085,-0.22887184422977172,-0.6072059030222088,10.672822826504273,-12.17495205622217,-0.5084589414023756,-2.0105880456180967,-0.47812151833979444
baseline,IMZW8_1_WAT1,CH...O(C3),-0.4082415750599466,11.639952852618183,9.481150646030809,0.7379282374023991,-0.00973411521450914,-0.1340852831535923,-0.004313311871867774,0.031230205259909466,-0.03313356699663753,-0.19349480536146468,-0.33379676212365267,9.875548068845193,-10.12583982347042,-0.530143033286205,-0.78043459965754,-0.3721930245975934
baseline,IMZW8_1_WAT2,CH...O(C3),0.3565856685163453,15.60451296832316,9.062949529830103,0.6111019838447701,0.025325403859923087,0.24298478330524,0.08616558491771129,0.0834064257602552,-0.014570142478271049,0.015324848122726246,0.4133115623786087,10.112688479913274,-9.364162486006911,-0.31105807781771094,0.4374681043423914,0.0808824358260461
baseline,IMZW8_1_WAT3,CH...O(C3),-0.9820416831062176,56.08995862374693,7.757653016618814,0.46234722346316476,-0.05957085489365296,-0.31795045362797825,-0.04432896352339759,0.06429719350134866,0.008706756703572939,-0.24137170745121414,-0.5306471743976671,7.629782210791131,-8.895040858514616,-0.562773839692223,-1.8280322991624323,-0.8459906160562146
baseline,IMZW8_1_WAT4,OH...pi(N9),1.0002013956545852,-235.88126800171392,10.928305653254533,0.6991275695945537,0.2547197124777994,0.5259967016853856,0.11392246248773374,-0.08123373695725954,0.017989378851493612,0.09897499856270794,0.6756498673810079,12.557802739955932,-10.7473868907638,-0.7170275283459928,1.093388446348899,0.09318705069431377
baseline,IMZW8_1_WAT5,NH...O,-4.445593608659692,-12.122397133753555,8.03827242962807,-1.1247130917839423,0.16957903878407596,-0.8556825864935026,0.002001629720366775,-0.91527220392043,-0.09172807989959574,-0.4579222776558623,-2.3186035182490237,4.7645347956276165,-9.011142096647253,-0.719639160026096,-4.966246335543094,-0.5206527268834016
baseline,IMZW8_1_WAT6,CH...O(C3),-1.0061392222123686,-42.05649475268471,8.773808412661682,0.5484009861925945,-0.002380645442700885,-0.2080183238858118,0.015660314687560732,-0.19421060541852736,-0.0013367834325965044,-0.26230165844911435,-0.6502070564984896,8.669621759664535,-9.743691636592718,-0.5267093014441316,-1.6007790528705907,-0.5946398306582221
baseline,IMZW8_1_WAT7,noHbond-close(HH-H7),-0.6142453977954574,174.49204715308971,7.947432526637112,1.0411719397396064,-0.06385825062424177,-0.5538892468037008,-0.0881321996094246,0.42339312958890724,0.1093169194537949,-0.14624786003272564,-0.25555932015409527,8.66918695834965,-8.825711164533168,-0.6925714761114371,-0.8490955567930911,-0.23485015899763373
baseline,IMZW8_1_WAT8,OH...N3,-6.852989304636139,13.300217670098025,6.280300559228158,1.5462061854363351,-1.2109074166355658,-0.422435989388119,-0.1872780690019202,-0.9355741434366881,-0.27880352609234127,-0.8951871944293567,-2.7192788595974764,3.896320405679662,-9.570406087598203,-0.7615512708101394,-6.435636764475105,0.4173525401610343
baseline,IMZW9_1_WAT1,CH...O(C3),0.1917670125840231,-89.04824239497877,11.699975200578516,0.7052349310527681,0.03706127429669306,0.06218543586828433,0.026610982519435843,-0.029200776869841998,0.029734787432269736,-0.16226892991692637,-0.07293843821582965,12.369332967712143,-12.230168560124362,-0.3418349074826101,-0.2026703743920378,-0.3944373869760609
baseline,IMZW9_1_WAT2,CH...O(C3),-1.5675998182559852,30.600954823562308,9.479044033975018,0.18409998451957715,-0.12479042457092718,-0.3643438605700957,-0.009773083552848156,-0.06703206804215785,-0.08160553632064162,-0.19306847542478506,-0.7158230239105294,8.822530507261531,-10.858049692537579,-0.5455194626877,-2.5810385224605135,-1.0134387042045283
baseline,IMZW9_1_WAT3,OH...pi(C3),-0.1512302871269639,-120.69962617804077,10.674337257869437,0.3526436326714513,0.12022661091701373,0.7563221716118244,0.17512590878005688,-0.5533864862130816,-0.058660903405314,-0.07683433078555062,0.2425663599879341,11.389773861445093,-10.798132389663294,-0.9153584864731136,-0.32371695193884203,-0.17248666481187813
baseline,IMZW9_1_WAT4,NH...O,-3.0261837954749358,-142.13224508341204,11.475085594222012,-0.8930262400535248,0.7268145426091653,-0.44391532493056185,0.06820306347170735,-1.3696274039709793,-0.10914937442421993,-0.9063825282051688,-2.7608715053082733,8.548002328718278,-11.428440367727848,-0.7788253516121487,-3.659263327870222,-0.633079532395286
baseline,IMZW9_1_WAT5,OH...N3,-6.632741648762021,13.78896045207855,8.487967179565567,1.6413430850518798,-1.2253622228725043,-0.39755247769983104,-0.1874796877959366,-0.8983834766864431,-0.27597829018726694,-0.9428085119103193,-2.7022024442797985,6.201745597464764,-11.746522159088748,-0.7644853796089638,-6.309261815730616,0.3234798330314055
baseline,IMZW9_1_WAT6,CH...O(C3),-2.023824719770346,-78.12093950186427,11.384373075655912,0.4200409739784604,-0.17197166965773092,-0.35745499881288384,0.04759182453568388,-0.13367476645565984,0.011764359366892897,-0.30690208257099194,-0.7386757266879076,10.893766653287994,-12.614004872989181,-0.5720435978959256,-2.2922816920945928,-0.2684569723242469
baseline,IMZW9_1_WAT7,CH...O(C3),-1.6784349529771134,0.4728699925850994,10.988221952113056,0.5810818678546429,-0.03536768897714438,-0.32783824591268534,0.0365039203818309,-0.4664778673271325,-0.006742150042176113,-0.3677630969433199,-1.1323174398434828,10.401618691146734,-12.041343178261284,-0.5021971498625946,-2.1419215114746373,-0.46348655849752385
